AccountDisplayName,OnPremSid,AccountDomain,Type,AccountObjectId,CloudSid,SourceProvider,SourceSystem,AccountUpn,Tags,CreatedDateTime,CriticalityLevel,RiskStatus,EmailAddress,IsAccountEnabled
Janessa Crawford,S-1-5-21-306263214-2362191459-3415812841-1138,,User,,,Hybrid,,KSantiago@domain1.test.local,"[""Sensitive""]","May 24, 2022 12:08:20 PM",,,JCrawford@domain1.test.local,1
Evlyn Bradshaw,S-1-5-21-306263214-2362191459-3415812841-1625,,User,,,Hybrid,,BGihon@domain1.test.local,"[""Sensitive""]","May 24, 2022 12:08:46 PM",,,EBradshaw@domain1.test.local,1
Myrta Dorset,S-1-5-21-306263214-2362191459-3415812841-1731,domain1.test.local,User,,,Hybrid,,DRowen@domain1.test.local,"[""Sensitive""]","Sep 2, 2024 7:59:57 PM",,,MDorset@domain1.test.local,1
Crispin Winterton,S-1-5-21-306263214-2362191459-3415812841-1748,domain1.test.local,User,,,Hybrid,,IBlackwell@domain1.test.local,"[""Sensitive""]","Jun 25, 2022 8:55:03 PM",,,CWinterton@domain1.test.local,1
Littleton Mcpherson,S-1-5-21-306263214-2362191459-3415812841-1528,,User,,,Hybrid,,HHanna@domain1.test.local,"[""Sensitive""]","May 24, 2022 12:08:40 PM",,,LMcpherson@domain1.test.local,1
Evlyn Bradshaw,S-1-5-21-306263214-2362191459-3415812841-1625,,User,,,Hybrid,,BGihon@domain1.test.local,"[""Sensitive""]","May 24, 2022 12:08:46 PM",,,EBradshaw@domain1.test.local,1
Reynaldo Pitts,S-1-5-21-306263214-2362191459-3415812841-2048,domain1.test.local,User,,,Hybrid,,RPitts@domain1.test.local,"[""Sensitive""]","Jan 29, 2025 4:28:58 PM",,,RPitts@domain1.test.local,1
Theola Carmichael,S-1-5-21-306263214-2362191459-3415812841-1946,domain1.test.local,User,,,Hybrid,,WOakham@domain1.test.local,"[""Sensitive""]","Aug 18, 2024 5:03:29 PM",,,TCarmichael@domain1.test.local,1
Giuseppe Hood,S-1-5-21-306263214-2362191459-3415812841-1859,domain5.test.local,User,,,Hybrid,,TConner@domain1.test.local,"[""Sensitive""]","Feb 14, 2023 3:20:25 PM",,,GHood@domain1.test.local,1
Theola Carmichael,S-1-5-21-306263214-2362191459-3415812841-1946,domain1.test.local,User,,,Hybrid,,WOakham@domain1.test.local,"[""Sensitive""]","Aug 18, 2024 5:03:29 PM",,,TCarmichael@domain1.test.local,1
Theola Carmichael,S-1-5-21-306263214-2362191459-3415812841-1946,domain1.test.local,User,,,Hybrid,,WOakham@domain1.test.local,"[""Sensitive""]","Aug 18, 2024 5:03:29 PM",,,TCarmichael@domain1.test.local,1
Evlyn Bradshaw,S-1-5-21-306263214-2362191459-3415812841-1625,,User,,,Hybrid,,BGihon@domain1.test.local,"[""Sensitive""]","May 24, 2022 12:08:46 PM",,,EBradshaw@domain1.test.local,1
Theola Carmichael,S-1-5-21-306263214-2362191459-3415812841-1946,domain1.test.local,User,,,Hybrid,,WOakham@domain1.test.local,"[""Sensitive""]","Aug 18, 2024 5:03:29 PM",,,TCarmichael@domain1.test.local,1
Reynaldo Pitts,S-1-5-21-306263214-2362191459-3415812841-2048,domain1.test.local,User,,,Hybrid,,RPitts@domain1.test.local,"[""Sensitive""]","Jan 29, 2025 4:28:58 PM",,,RPitts@domain1.test.local,1
